timestamp,market_id,regime,source_family,resolver,resolver_confidence,seconds_to_resolution,volume,yes_best_bid,yes_best_ask,no_best_bid,no_best_ask,yes_mid,no_mid,yes_spread_bps,no_spread_bps,yes_microprice,no_microprice,yes_imbalance,no_imbalance,yes_no_sum,dislocation,sequence,active_signal_family
1774732630.596,1739838,stressed,sports,official_sports_feed,0.6,12708.78425002098,3486100.2987079932,0.28,0.29,0.0,0.0,0.28500000000000003,0.0,350.87719298245446,0.0,0.28572205167221265,0.0,-0.6033258939705247,0.0,0.28500000000000003,0.0,0,none
1774732628.12,1753632,one_sided,sports,official_sports_feed,0.6,85668.58284592628,248227.06567600043,0.33,0.34,0.0,0.0,0.335,0.0,298.5074626865674,0.0,0.33995810609292626,0.0,0.9743577437258599,0.0,0.335,0.0,0,none
1774732630.89,1682614,calm,sports,official_sports_feed,0.6,768.4062218666077,2423185.691262,0.54,0.55,0.0,0.0,0.545,0.0,183.48623853211024,0.0,0.5493816632292232,0.0,0.5893140910031198,0.0,0.545,0.0,0,none
1774732628.124,1750517,one_sided,sports,official_sports_feed,0.6,768.2283537387848,161265.1406959997,0.39,0.4,0.0,0.0,0.395,0.0,253.16455696202553,0.0,0.39003604311290074,0.0,-0.9649384593906046,0.0,0.395,0.0,0,none
1774732618.558,1749870,one_sided,sports,official_sports_feed,0.6,768.050133228302,82896.06335000003,0.43,0.44,0.0,0.0,0.435,0.0,229.88505747126456,0.0,0.430028841087194,0.0,-0.9678543831766266,0.0,0.435,0.0,0,none
1774732630.467,1476618,one_sided,sports,official_sports_feed,0.6,9767.887564182281,433350.0827469991,0.45,0.46,0.0,0.0,0.455,0.0,219.78021978021997,0.0,0.45893511426688705,0.0,0.6608292814161183,0.0,0.455,0.0,0,none
1774732629.224,1739839,calm,sports,official_sports_feed,0.6,3107.7225008010864,5884658.278568992,0.75,0.76,0.0,0.0,0.755,0.0,132.45033112582794,0.0,0.759695199181434,0.0,0.12134866382675964,0.0,0.755,0.0,0,none
1774732631.962,1753593,stressed,sports,official_sports_feed,0.6,67367.49687862396,443884.4970900001,0.24,0.25,0.0,0.0,0.245,0.0,408.1632653061228,0.0,0.24945900270512436,0.0,0.7699785664970537,0.0,0.245,0.0,0,none
1774732632.136,658931,stressed,general,manual_review_required,0.2,528167.2778077126,1064488.5965089907,0.23,0.24,0.0,0.0,0.235,0.0,425.53191489361626,0.0,0.23007372240566779,0.0,0.8754589876877895,0.0,0.235,0.0,0,none
1774732627.402,1507751,stressed,politics,official_election_reporting,0.55,2774567.126818657,12264803.396659158,0.06,0.07,0.0,0.0,0.065,0.0,1538.4615384615397,0.0,0.06281149020591224,0.0,0.5721302271857159,0.0,0.065,0.0,0,none
1774732632.246,566188,stressed,general,manual_review_required,0.2,5107366.972953558,9683351.784599973,0.11,0.12,0.0,0.0,0.11499999999999999,0.0,869.565217391304,0.0,0.11953059493914425,0.0,0.17747589019478885,0.0,0.11499999999999999,0.0,0,none
1774732611.047,566187,calm,general,manual_review_required,0.2,5107366.823640108,8174002.215825508,0.88,0.89,0.0,0.0,0.885,0.0,112.99435028248598,0.0,0.8800030898613415,0.0,-0.07268500127553838,0.0,0.885,0.0,0,none
1774732616.539,566137,stressed,general,manual_review_required,0.2,5452966.679630518,3190162.2267860086,0.07,0.08,0.0,0.0,0.07500000000000001,0.0,1333.3333333333326,0.0,0.07352213139684999,0.0,0.032118020342503564,0.0,0.07500000000000001,0.0,0,none
1774732677.903,1739838,stressed,sports,official_sports_feed,0.6,12661.944065332413,3486100.2987079932,0.28,0.29,0.0,0.0,0.28500000000000003,0.0,350.87719298245446,0.0,0.28574593330855014,0.0,-0.6027713261710747,0.0,0.28500000000000003,0.0,0,none
1774732676.493,1753632,one_sided,sports,official_sports_feed,0.6,85621.8283071518,248227.06567600043,0.33,0.34,0.0,0.0,0.335,0.0,298.5074626865674,0.0,0.33995820236192786,0.0,0.9744118368902899,0.0,0.335,0.0,0,none
